127.0.0.1 - - [19/Aug/2023:17:00:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:01:02 +0900] "GET /web_example/js1.html HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:01:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:01:16 +0900] "GET /web_example/js1.html HTTP/1.1" 200 1345
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:09:14 +0900] "GET /web_example/js1.html HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:11:03 +0900] "GET /web_example/js1.html HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:11:50 +0900] "GET /web_example/js1.html HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:11:51 +0900] "GET /web_example/js1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:11:51 +0900] "GET /web_example/js1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:11:52 +0900] "GET /web_example/js1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:11:52 +0900] "GET /web_example/js1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:11:52 +0900] "GET /web_example/js1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:11:52 +0900] "GET /web_example/js1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:13:54 +0900] "GET /web_example/js1.html HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:14:05 +0900] "GET /web_example/js1.html HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:14:19 +0900] "GET /web_example/js1.html HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:18:30 +0900] "GET /web_example/js2.html HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:19:52 +0900] "GET /web_example/js2.html HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:19:57 +0900] "GET /web_example/js2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:21:00 +0900] "GET /web_example/js2.html HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:24:32 +0900] "GET /web_example/js2.html HTTP/1.1" 200 896
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:28:48 +0900] "GET /web_example/js2.html HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:42:47 +0900] "GET /web_example/js2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:42:51 +0900] "GET /web_example/js3.html HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:43:19 +0900] "GET /web_example/js3.html HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:43:49 +0900] "GET /web_example/js3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:44:48 +0900] "GET /web_example/js3.html HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:44:49 +0900] "GET /web_example/js3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:44:49 +0900] "GET /web_example/js3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:44:56 +0900] "GET /web_example/js3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:46:31 +0900] "GET /web_example/js3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:49:13 +0900] "GET /web_example/js3.html HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:51:00 +0900] "GET /web_example/js3.html HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [19/Aug/2023:17:51:40 +0900] "GET /web_example/js3.html HTTP/1.1" 200 736
